type=MATCHED_CLUSTER_SPEC
shardName=az-northeurope-c2
total=6264
# of orgs=72
# of pipelines=261

OrgIds details:
d35a66c1-c5d5-4d01-b426-f12ee21fb88b: 1
2899b999-4bb2-4453-9d23-c3523424bc4e: 1
4e81b610-1ad2-4855-b2bd-5f30cc116580: 1
1665b1ad-f28c-4486-802f-8fb089980a6e: 1
b25426c0-54d5-4917-bd2c-3b6f6e6aaa2c: 1
c39b4050-9b42-46ef-a066-d7f945f9a585: 1
72a7691c-cc98-4e20-ad60-e1ec55c0edab: 1
416326a4-235c-4a29-8817-8c42f6a42ec7: 1
fa75ebeb-3ab3-435b-afbe-abef9e5d2c09: 1
73cbd8e0-d621-4180-b3ab-18db14686540: 1
2f6a156d-ef20-4f89-babb-f78f2d4bceca: 1
bf129202-0d07-4de6-8007-c0d6d68df39f: 1
ea61bc84-1994-4afd-abf2-3e77256d0727: 1
6e8881c7-94b7-4012-9f36-291cf044c88a: 1
a26ce73e-178b-469d-8f6e-da13a7668db7: 1
ca2d9b53-c9b9-4c01-899a-868308aecd12: 1
13935235-1481-45e7-9d24-4272d617a78a: 1
72edffbe-4eed-49eb-8440-84f3751a5d5f: 1
0a727cb8-d40e-42ff-9a0a-ddbccbb37da0: 1
ab1ca191-a2bb-4cb3-8d8a-f32d7e2cecc9: 1
91db2b2c-bd9c-4d9f-ac1d-e5cb58040317: 1
84841519-7a2d-4417-80a9-8555181a8ce5: 1
daa5add1-6905-4d84-816f-a2ece640bf9b: 1
b8bc63fb-6ccc-4a49-9a54-09d6d9cf4dd8: 1
5e566d80-1734-4078-bd00-accb46999555: 1
44f16e51-6f5d-4ad4-9166-9ff3028e7117: 1
11e1df0f-7730-4990-a135-237b7c9dce30: 1
954b7eb2-3ded-42b1-b300-ddb5435116b6: 1

    
JSON dump:
